"price","airline","Origin","Destination","DepartureDate","ReturnDate","ScrapeDate","nbr_trials","Journey","TravelDates","DaysBeforeDeparture"
6119,NA,"BER","BKK",2019-01-26,2019-02-01,2019-01-17,1,"BER-BKK","2019-01-26-2019-02-01",9
6114,NA,"BER","BKK",2019-01-26,2019-02-02,2019-01-14,1,"BER-BKK","2019-01-26-2019-02-02",12
6131,NA,"BER","BKK",2019-01-26,2019-02-02,2019-01-15,1,"BER-BKK","2019-01-26-2019-02-02",11
6123,NA,"BER","BKK",2019-01-26,2019-02-02,2019-01-16,1,"BER-BKK","2019-01-26-2019-02-02",10
6351,NA,"BER","BKK",2019-01-26,2019-02-02,2019-01-17,1,"BER-BKK","2019-01-26-2019-02-02",9
5858,NA,"BER","BKK",2019-01-27,2019-01-31,2019-01-14,1,"BER-BKK","2019-01-27-2019-01-31",13
5858,NA,"BER","BKK",2019-01-27,2019-02-01,2019-01-14,1,"BER-BKK","2019-01-27-2019-02-01",13
5874,NA,"BER","BKK",2019-01-27,2019-02-01,2019-01-15,1,"BER-BKK","2019-01-27-2019-02-01",12
5483,NA,"BER","BKK",2019-01-27,2019-02-01,2019-01-16,1,"BER-BKK","2019-01-27-2019-02-01",11
5493,NA,"BER","BKK",2019-01-27,2019-02-01,2019-01-17,1,"BER-BKK","2019-01-27-2019-02-01",10
5498,NA,"BER","BKK",2019-01-27,2019-02-01,2019-01-20,1,"BER-BKK","2019-01-27-2019-02-01",7
6114,NA,"BER","BKK",2019-01-27,2019-02-02,2019-01-14,1,"BER-BKK","2019-01-27-2019-02-02",13
5982,NA,"BER","BKK",2019-01-27,2019-02-02,2019-01-15,1,"BER-BKK","2019-01-27-2019-02-02",12
5483,NA,"BER","BKK",2019-01-27,2019-02-02,2019-01-16,1,"BER-BKK","2019-01-27-2019-02-02",11
5846,NA,"BER","BKK",2019-01-27,2019-02-02,2019-01-17,1,"BER-BKK","2019-01-27-2019-02-02",10
5498,NA,"BER","BKK",2019-01-27,2019-02-02,2019-01-20,1,"BER-BKK","2019-01-27-2019-02-02",7
5858,NA,"BER","BKK",2019-01-27,2019-02-03,2019-01-14,1,"BER-BKK","2019-01-27-2019-02-03",13
5361,NA,"BER","BKK",2019-01-27,2019-02-03,2019-01-15,1,"BER-BKK","2019-01-27-2019-02-03",12
5867,NA,"BER","BKK",2019-01-27,2019-02-03,2019-01-16,1,"BER-BKK","2019-01-27-2019-02-03",11
5829,NA,"BER","BKK",2019-01-27,2019-02-03,2019-01-17,1,"BER-BKK","2019-01-27-2019-02-03",10
6143,NA,"BER","BKK",2019-01-27,2019-02-03,2019-01-20,1,"BER-BKK","2019-01-27-2019-02-03",7
5858,NA,"BER","BKK",2019-01-28,2019-02-01,2019-01-14,1,"BER-BKK","2019-01-28-2019-02-01",14
6114,NA,"BER","BKK",2019-01-28,2019-02-02,2019-01-14,1,"BER-BKK","2019-01-28-2019-02-02",14
6047,NA,"BER","BKK",2019-01-28,2019-02-02,2019-01-15,1,"BER-BKK","2019-01-28-2019-02-02",13
5640,NA,"BER","BKK",2019-01-28,2019-02-02,2019-01-16,1,"BER-BKK","2019-01-28-2019-02-02",12
6003,NA,"BER","BKK",2019-01-28,2019-02-02,2019-01-17,1,"BER-BKK","2019-01-28-2019-02-02",11
5583,NA,"BER","BKK",2019-01-28,2019-02-02,2019-01-20,1,"BER-BKK","2019-01-28-2019-02-02",8
5499,NA,"BER","BKK",2019-01-28,2019-02-02,2019-01-21,1,"BER-BKK","2019-01-28-2019-02-02",7
5858,NA,"BER","BKK",2019-01-28,2019-02-03,2019-01-14,1,"BER-BKK","2019-01-28-2019-02-03",14
5361,NA,"BER","BKK",2019-01-28,2019-02-03,2019-01-15,1,"BER-BKK","2019-01-28-2019-02-03",13
5867,NA,"BER","BKK",2019-01-28,2019-02-03,2019-01-16,1,"BER-BKK","2019-01-28-2019-02-03",12
6119,NA,"BER","BKK",2019-01-28,2019-02-03,2019-01-17,1,"BER-BKK","2019-01-28-2019-02-03",11
6143,NA,"BER","BKK",2019-01-28,2019-02-03,2019-01-20,1,"BER-BKK","2019-01-28-2019-02-03",8
6143,NA,"BER","BKK",2019-01-28,2019-02-03,2019-01-21,1,"BER-BKK","2019-01-28-2019-02-03",7
5874,NA,"BER","BKK",2019-01-28,2019-02-04,2019-01-15,1,"BER-BKK","2019-01-28-2019-02-04",13
5867,NA,"BER","BKK",2019-01-28,2019-02-04,2019-01-16,1,"BER-BKK","2019-01-28-2019-02-04",12
6022,NA,"BER","BKK",2019-01-28,2019-02-04,2019-01-17,1,"BER-BKK","2019-01-28-2019-02-04",11
6042,NA,"BER","BKK",2019-01-28,2019-02-04,2019-01-20,1,"BER-BKK","2019-01-28-2019-02-04",8
6042,NA,"BER","BKK",2019-01-28,2019-02-04,2019-01-21,1,"BER-BKK","2019-01-28-2019-02-04",7
6114,NA,"BER","BKK",2019-01-29,2019-02-02,2019-01-14,1,"BER-BKK","2019-01-29-2019-02-02",15
5858,NA,"BER","BKK",2019-01-29,2019-02-03,2019-01-14,1,"BER-BKK","2019-01-29-2019-02-03",15
5361,NA,"BER","BKK",2019-01-29,2019-02-03,2019-01-15,1,"BER-BKK","2019-01-29-2019-02-03",14
5867,NA,"BER","BKK",2019-01-29,2019-02-03,2019-01-16,1,"BER-BKK","2019-01-29-2019-02-03",13
6119,NA,"BER","BKK",2019-01-29,2019-02-03,2019-01-17,1,"BER-BKK","2019-01-29-2019-02-03",12
6143,NA,"BER","BKK",2019-01-29,2019-02-03,2019-01-20,1,"BER-BKK","2019-01-29-2019-02-03",9
6143,NA,"BER","BKK",2019-01-29,2019-02-03,2019-01-21,1,"BER-BKK","2019-01-29-2019-02-03",8
5874,NA,"BER","BKK",2019-01-29,2019-02-04,2019-01-15,1,"BER-BKK","2019-01-29-2019-02-04",14
5867,NA,"BER","BKK",2019-01-29,2019-02-04,2019-01-16,1,"BER-BKK","2019-01-29-2019-02-04",13
6119,NA,"BER","BKK",2019-01-29,2019-02-04,2019-01-17,1,"BER-BKK","2019-01-29-2019-02-04",12
6143,NA,"BER","BKK",2019-01-29,2019-02-04,2019-01-20,1,"BER-BKK","2019-01-29-2019-02-04",9
6143,NA,"BER","BKK",2019-01-29,2019-02-04,2019-01-21,1,"BER-BKK","2019-01-29-2019-02-04",8
5867,NA,"BER","BKK",2019-01-29,2019-02-05,2019-01-16,1,"BER-BKK","2019-01-29-2019-02-05",13
5863,NA,"BER","BKK",2019-01-29,2019-02-05,2019-01-17,1,"BER-BKK","2019-01-29-2019-02-05",12
5886,NA,"BER","BKK",2019-01-29,2019-02-05,2019-01-20,1,"BER-BKK","2019-01-29-2019-02-05",9
5886,NA,"BER","BKK",2019-01-29,2019-02-05,2019-01-21,1,"BER-BKK","2019-01-29-2019-02-05",8
5858,NA,"BER","BKK",2019-01-30,2019-02-03,2019-01-14,1,"BER-BKK","2019-01-30-2019-02-03",16
5874,NA,"BER","BKK",2019-01-30,2019-02-04,2019-01-15,1,"BER-BKK","2019-01-30-2019-02-04",15
5867,NA,"BER","BKK",2019-01-30,2019-02-04,2019-01-16,1,"BER-BKK","2019-01-30-2019-02-04",14
5909,NA,"BER","BKK",2019-01-30,2019-02-04,2019-01-17,1,"BER-BKK","2019-01-30-2019-02-04",13
5929,NA,"BER","BKK",2019-01-30,2019-02-04,2019-01-20,1,"BER-BKK","2019-01-30-2019-02-04",10
5929,NA,"BER","BKK",2019-01-30,2019-02-04,2019-01-21,1,"BER-BKK","2019-01-30-2019-02-04",9
5801,NA,"BER","BKK",2019-01-30,2019-02-05,2019-01-16,1,"BER-BKK","2019-01-30-2019-02-05",14
5919,NA,"BER","BKK",2019-01-30,2019-02-05,2019-01-17,1,"BER-BKK","2019-01-30-2019-02-05",13
5924,NA,"BER","BKK",2019-01-30,2019-02-05,2019-01-20,1,"BER-BKK","2019-01-30-2019-02-05",10
5925,NA,"BER","BKK",2019-01-30,2019-02-05,2019-01-21,1,"BER-BKK","2019-01-30-2019-02-05",9
5909,NA,"BER","BKK",2019-01-30,2019-02-06,2019-01-17,1,"BER-BKK","2019-01-30-2019-02-06",13
5929,NA,"BER","BKK",2019-01-30,2019-02-06,2019-01-20,1,"BER-BKK","2019-01-30-2019-02-06",10
5929,NA,"BER","BKK",2019-01-30,2019-02-06,2019-01-21,1,"BER-BKK","2019-01-30-2019-02-06",9
