city,linkstring
LON,London%2C+England%2C+Storbritannien+%28LON-Alla+flygplatser%29
SIN,Singapore%2C+Singapore+%28SIN-Changi%29
STO,Stockholm%2C%20Sverige%20(STO)
BKK,Bangkok%2C%20Thailand%20(BKK)
CPH,K%C3%B6penhamn%2C+Danmark+%28CPH-Kastrup%29
BER,Berlin%2C%20Tyskland%20(BER-Alla%20flygplatser)
